,id,BeautyLink
0,0,https://www.bbc.com/tajik/news/2015/03/150331_l16_bbc-tajik_closure
1,1,https://www.bbc.com/tajik/news/2015/03/150331_ea_iran_nuclear_talks_31_march
2,2,https://www.bbc.com/tajik/news/2015/03/150330_ea_iran_nuclear_talks_30_march
3,3,https://www.bbc.com/tajik/news/2015/03/150329_l16_singapore_founder_death_funeral
4,4,https://www.bbc.com/tajik/news/2015/03/150329_l16_france_local_elections_second_round
5,5,https://www.bbc.com/tajik/news/2015/03/150326_sq_tajpress
6,6,https://www.bbc.com/tajik/news/2015/03/150326_rm_iran_nuc_lausanne_talks_resumed
7,7,https://www.bbc.com/tajik/news/2015/03/150326_rm_yemen_saudiaction
8,8,https://www.bbc.com/tajik/news/2015/03/150325_sq_k05_farkhunda_afghan_ulama
9,9,https://www.bbc.com/tajik/news/2015/03/150325_rm_jordan_russia_nuclear
10,10,https://www.bbc.com/tajik/news/2015/03/150325_rm_central_asia_politics
11,11,https://www.bbc.com/tajik/news/2015/03/150325_sq_an_france_airbus_crash
12,12,https://www.bbc.com/tajik/news/2015/03/150324_ea_sayhun_rahman_town
13,13,https://www.bbc.com/tajik/news/2015/03/150324_rm_israel_spying_iran_nuclear_talks
14,14,https://www.bbc.com/tajik/news/2015/03/150324_rm_rln_gunmen_killing_passengers
15,15,https://www.bbc.com/tajik/news/2015/03/150324_sq_kremlin_internet_trolls
16,16,https://www.bbc.com/tajik/news/2015/03/150324_rm_yemen_arabs
17,17,https://www.bbc.com/tajik/news/2015/03/150324_zkh_accident_chidren_death
18,18,https://www.bbc.com/tajik/news/2015/03/150323_ea_nowrooz_in_tajikistan
19,19,https://www.bbc.com/tajik/news/2015/03/150323_rm_singapore_founder
20,20,https://www.bbc.com/tajik/news/2015/03/150322_ea_janibek_moradov_london
21,21,https://www.bbc.com/tajik/news/2015/03/150322_ea_farkhunda_ceremony_mourning
22,22,https://www.bbc.com/tajik/news/2015/03/150320_rm_solar_eclipse
23,23,https://www.bbc.com/tajik/news/2015/03/150320_rm_kabul_woman_burnt
24,24,https://www.bbc.com/tajik/news/2015/03/150320_rm_obama_iran_nowruz_message
25,25,https://www.bbc.com/tajik/news/2015/03/150319_l16_l03_is_un_crimes
26,26,https://www.bbc.com/tajik/news/2015/03/150319_l16_yemen_aden
27,27,https://www.bbc.com/tajik/news/2015/03/150319_zkh_press_review
28,28,https://www.bbc.com/tajik/news/2015/03/150319_sq_rahman_inteligencia
29,29,https://www.bbc.com/tajik/news/2015/03/150319_rm_tunisia_terrorattack
30,30,https://www.bbc.com/tajik/news/2015/03/150318_l16_k03_helmand_blast
31,31,https://www.bbc.com/tajik/news/2015/03/150318_sq_rln_ombudsman_report
32,32,https://www.bbc.com/tajik/news/2015/03/150318_ea_israel_election_final_result
33,33,https://www.bbc.com/tajik/news/2015/03/150318_ea_netanyhu_elections
34,34,https://www.bbc.com/tajik/news/2015/03/150317_l16_me_snake_poison
35,35,https://www.bbc.com/tajik/news/2015/03/150317_ea_rahman_parliament
36,36,https://www.bbc.com/tajik/news/2015/03/150317_zkh_trade_dollar_crime_police
37,37,https://www.bbc.com/tajik/news/2015/03/150317_rm_afghan_is_govt_confirmed_is_presence
38,38,https://www.bbc.com/tajik/news/2015/03/150317_zkh_rln_malaysia_islamic_party
39,39,https://www.bbc.com/tajik/news/2015/03/150317_rm_israel_election
40,40,https://www.bbc.com/tajik/news/2015/03/150316_sq_reshuffle
41,41,https://www.bbc.com/tajik/news/2015/03/150316_zkh_afghan_drug_un
42,42,https://www.bbc.com/tajik/news/2015/03/150316_sq_putin_speculations
